,addr,loc,d_hub
28,231623 rajiv nagar 14th 231623 rajiv nagar 14th - - Gurgaon,"[28.481469999999998,77.04699000000001]",b1b3de810f1d46619cd868a470ab831c
29,MANISH SAMNANI 483 SECTOR 27 - - GURGAON,"[28.4593564,77.0934045]",48b6dba5107b422fb17325c85021dd4f
30,UJJWALGHOSH 1641-AHOUSINGBOARDCOLONYSECTOR 10-A - GURUGRAM,"[28.448306666666667,77.00385333333334]",b1b3de810f1d46619cd868a470ab831c
31,"KAMAL MADAAN D-86, VIJAY RATTAN VIHAR SECTOR 15 PART 2 - GURGAON","[28.46079666666667,77.04991333333334]",b1b3de810f1d46619cd868a470ab831c
32,jabong.com plot no 82 A sector 18 sector 18 - Gurugram - Gurugram,"[28.483214378356934,77.06818521022797]",b1b3de810f1d46619cd868a470ab831c
33,AJAYYADAV A-340SECONDFLOORA-BLOCKPALAMVI HAR - GURUGRAM,"[28.50503472,77.03662968]",b1b3de810f1d46619cd868a470ab831c
34,"N 332 Vijay Rattan Vihar Sector 15 Part 2 , Secto r 15 Part 2 , - - -","[28.4552991,77.0417693]",b1b3de810f1d46619cd868a470ab831c
35,"D-18, Sahib kunj, New Palam Vihar phase 3, Palam V ihar  (Gurgaon) - - -","[28.517408,77.0341398]",b1b3de810f1d46619cd868a470ab831c
36,"Mahindra Aura  , Tower  G, Flat No. 401 , Sector- 110A, New Palam Vihar,  Gurgaon  -122017 , Palam V Gurgaon - Gurgaon","[28.5131226,77.0273624]",b1b3de810f1d46619cd868a470ab831c
37,"Hno 1098, Near shakuntla cinema - - Gurgaon","[28.47343895,77.01077474]",b1b3de810f1d46619cd868a470ab831c
38,SANCHARIMITRA HNO36SECTOR23GURGAON122OO1NEAR TAUD EVILALPARK - GURUGRAM,"[28.50720362,77.06044964]",b1b3de810f1d46619cd868a470ab831c
39,"House No. 593-C, H-BlockFirst Floor, Palam Vihar,  Tel:8569907147 - - Gurgaon","[28.488353333333333,77.02042833333333]",b1b3de810f1d46619cd868a470ab831c
40,House No 413 Sector 21-AOld Delhi Gurgaon Road - - - Gurgaon,"[28.51011577,77.06789807]",b1b3de810f1d46619cd868a470ab831c
41,"945 sector-15 part-2 Gurgaon , Gurgaon South City I, - - Gurgaon,","[28.460271666666667,77.04298999999999]",b1b3de810f1d46619cd868a470ab831c
42,"3c-65, Princeton Estate , DLF Phase 5, gurgaon - - - -","[28.49915,77.048485]",48b6dba5107b422fb17325c85021dd4f
43,"A 1204, PARK VIEW CITY 2, SOHNA ROADNear Vatika Bu siness Park Tel:9810125422 - - Gurgaon","[28.404856324195862,77.04538643360138]",be7261b61da149aa805e10f395c46ed3
44,Income Tax Office Udyog Vihar - Gurugram - Gurugram,"[28.4971858,77.0882832]",a67a898ec4f4482bb79ee39293c330e9
45,"C-1987,2nd Floor,Sushant Lok,Phase-1, Chakkarpur, - - - -","[28.45130513,77.08378513]",48b6dba5107b422fb17325c85021dd4f
46,RASHMI BALA 1062  LAXMAN VIHAR  PHASE 2 MAIN SHANI MANDIR GALI - GURGAON,"[28.4789179,77.00702]",b1b3de810f1d46619cd868a470ab831c
47,,,
48,B 171 Opp. Dushera  Ground New Colony - - - Gurugram,"[28.46372247,77.01634308]",b1b3de810f1d46619cd868a470ab831c
49,H.No. 488 Near Sukhabir Kataria Of - Gurugram - Gurugram,"[28.4783986,77.0090356]",b1b3de810f1d46619cd868a470ab831c
50,"C-557, 2nd Floor, C Block, Near Penguin School , S ushant lok phase 1 - - Gurgaon","[28.45871833333333,77.08426833333333]",48b6dba5107b422fb17325c85021dd4f
51,"PRATEEK SRIVASTAVA B-191, THE ICON, DLF PHASE 5,SECTOR 43 - GURGAON","[28.4512908,77.0944686]",48b6dba5107b422fb17325c85021dd4f
52,SHEELAM GOVIL 83316 NAI BASTI BADA BAZAR NEAR MALIK SON''SIRON STORE - GURGAON,"[28.48058329,77.0143826]",a67a898ec4f4482bb79ee39293c330e9
53,"79, Hope Apartments, Sector-15, part-2, Sector-15, part-2, Gurgaon, - - Gurgaon,","[28.4564307,77.0387986]",b1b3de810f1d46619cd868a470ab831c
54,DEBARSHI  GHOSH C-1893 FIRST FLOOR SUSHANT LOK GURGAON HARYANA - GURGAON,"[28.451424837112427,77.0844715833664]",48b6dba5107b422fb17325c85021dd4f
55,"ADVOCATE OF SUPREME COURT OF INDIA ,  BANGLO SAI K Gurugram Gurugram - GURGAON","[28.50654273,77.03568638]",b1b3de810f1d46619cd868a470ab831c
56,"House No 355 2nd Floor Sec 17a, Sector 17 - Gurgaon - Gurgaon","[28.481244631111622,77.05948823131621]",b1b3de810f1d46619cd868a470ab831c
57,3419near gate number 3 secto r 23Gurgaon Sector 23 near gate no 3 gurgaon - -,"[28.51050240269362,77.04510294345508]",b1b3de810f1d46619cd868a470ab831c
58,"Flat no. 2303, San Marino Apartments, sector 45, G urgaon, Haryana, sector 45 - - Gurgaon","[28.4763,77.07200166666667]",48b6dba5107b422fb17325c85021dd4f
59,"BASEMENT, PLOT NO 611-ASECTOR 38 Tel:9829983888 - - - GURGAON","[28.4346379,77.0494303]",48b6dba5107b422fb17325c85021dd4f
60,"dlf phase 5 The Icon Apartments c-171, Galleria DL F-IV - - Gurgaon","[28.499095000000004,77.048335]",48b6dba5107b422fb17325c85021dd4f
61,sector 17A near bats showroom Gurgaon - Gurugram - Gurugram,"[28.4749309,77.0567959]",a67a898ec4f4482bb79ee39293c330e9
62,"Flat no 1201 Tower D5 uniworld garden 2 sec 47 gur gaon , Malibu towne - - -","[28.4241619,77.0447075]",48b6dba5107b422fb17325c85021dd4f
63,Flat no- 501 N- block Sispal Vihar s - Gurugram - Gurugram,"[28.48644264,77.06270396]",48b6dba5107b422fb17325c85021dd4f
64,"HOUSE NO. 305 , GALI NO. 7 , KADIPUR, SECTOR 10, GURGAON - - GURGAON","[28.450188333333337,76.99447]",b1b3de810f1d46619cd868a470ab831c
65,"91 Springboard Business Hub Pvt LtdPlot No 23, Sec tor 18 Tel:9136001866 - - Gurgaon","[28.489656038582325,77.06250429153442]",b1b3de810f1d46619cd868a470ab831c
66,House No 935 First floor near - - - -,"[28.5050991,77.0365893]",b1b3de810f1d46619cd868a470ab831c
67,RAJNEESH KHANNA 410 JASMINE STREET VATIKA CITY SO HNA ROAD - GURUGRAM,"[28.40441795065999,77.04862084239721]",be7261b61da149aa805e10f395c46ed3
68,MAYANK SHARMA FLAT NO. I-307   RAIL VIHAR SOCIETY SECTOR 15 PART 2 - GURGAON,"[28.45522,77.03989499999999]",a67a898ec4f4482bb79ee39293c330e9
69,MEENA SINGH HOUSE NO 1477P SECOND FLOOR SECTOR 15 PART 2 - GURGAON,"[28.4652523,77.0463761]",b1b3de810f1d46619cd868a470ab831c
70,"TAIKISHA ENGINEERING INDIA PVT LTD,PLOT NO.26 ,PHA SE-IV,UDYOG VIHAR, Palam Road, - - -","[28.4946541,77.0843265]",b1b3de810f1d46619cd868a470ab831c
71,"3227, sector 23, gurgaon  Near swiss cottage schoo l. Grey house, Palam Vihar  (Gurgaon) - - Gurgaon","[28.51608734,77.04840943]",b1b3de810f1d46619cd868a470ab831c
72,"VANDANA JHINGAN DEER WOOD 52, NIRVANA COUNTRY SECT OR 50 - GURGAON","[28.4147095,77.0651227]",48b6dba5107b422fb17325c85021dd4f
73,"3529 sector 23 gurgaon 1st floor,, Gurgaon - - - -","[28.5130488,77.0465747]",b1b3de810f1d46619cd868a470ab831c
74,RAHUL SHARMA HOUSE NO 1385 2ND FLOOR SECTOR 4 - GURGAON,"[28.47580247,77.00673988]",a67a898ec4f4482bb79ee39293c330e9
75,TARASUD 803ALABURNUMSUSHANTLOKPHASE1 - - GURUGRAM,"[28.4865645,77.0626662]",48b6dba5107b422fb17325c85021dd4f
76,"Sapient Consulting Pvt. Ltd.,,Unitech Infospace,,T ower - A,,Building No. 2,,Sector 21,,Old Delhi - G urgaon Ro - Gurgaon,","[28.51005921,77.0735718]",b1b3de810f1d46619cd868a470ab831c
77,"4003, samridhi, mdi campus, near ghoda chowk, oppo site bata showroom sec 17, sukhrali, gurgaon, - - Gurgaon,","[28.4721728,77.0610213]",b1b3de810f1d46619cd868a470ab831c
78,"Villa No. 77Birch Court, Nirvana Country - - - GURUGRAM","[28.4170495,77.0638115]",be7261b61da149aa805e10f395c46ed3
79,"3111 subhash nagar ,gurgaon behind state bank of patiala near rajvanshi hotel,, subhash nagar, - - -","[28.4645069,77.0231558]",b1b3de810f1d46619cd868a470ab831c
80,SUMIT PAL H NO 78331 LAXMAN VIHAR PHASE-2 GALI NO-4 - GURGAON,"[28.4804368,77.0086924]",b1b3de810f1d46619cd868a470ab831c
81,"NEHA KAPOOR 312, 12TH FLOOR, TOWER 3, ARALIASGOLF COURSE ROAD - GURUGRAM","[28.45871793,77.10235539]",48b6dba5107b422fb17325c85021dd4f
82,B 204 SUJJAN VIHAR SECTOR 43NR GOLD SOUK MALL N.A - - GURGAON,"[28.4498898,77.077492]",48b6dba5107b422fb17325c85021dd4f
83,"N 332 Vijay Rattan Vihar Sector 15 Part 2 , Secto r 15 Part 2 , N 332 Vijay Rattan Vihar Sector 15 - - -","[28.4552991,77.0417693]",b1b3de810f1d46619cd868a470ab831c
84,"HOUSE NUMBER 7603 , BASE ENT, DLF Phase 4 , Near Regency Park 1,DLF Phase GGN Gurgaon","[28.46058189868927,77.08742201328278]",48b6dba5107b422fb17325c85021dd4f
85,"HOUSE NUMBER 7603 , BASE ENT, DLF Phase 4 , Near Regency Park 1,DLF Phase GGN Gurgaon","[28.460533618927002,77.08751857280731]",48b6dba5107b422fb17325c85021dd4f
86,"Axis bank atm , Air force station Gurgaon Near sec tor 17 HUDA Market, Sector 17 A - - Gurgaon,","[28.478161096572876,77.06132411956787]",b1b3de810f1d46619cd868a470ab831c
87,"B1703 Bestech Park View Spa,Sector 47, Gurgaon - - - Gurgaon","[28.42732474,77.04996428]",be7261b61da149aa805e10f395c46ed3
88,"C6404, pwo housing complex, huda city centre, sector 43, g urgaon, haryana. Near hanuman t - Gurgaon","[28.4583867,77.0754365]",48b6dba5107b422fb17325c85021dd4f
89,"House no 280 sec 15 part 1, sector 15 part 1 - - - -","[28.4505635,77.0360932]",b1b3de810f1d46619cd868a470ab831c
90,"4-D, JNU Aravali Apartments, Plo - Gurgaon - Gurgaon","[28.499181666666665,77.04831833333333]",48b6dba5107b422fb17325c85021dd4f
91,"MANOJ SHARMA DELOITTE CONSULTING INDIA PVT LTD PLOT NO.15, 5TH FLOOR, - GURGAON","[28.4892192,77.08001]",b1b3de810f1d46619cd868a470ab831c
92,"House No. 139-Y9, Shivpuri Gurgaon-122001 Landmar Gurgaon - - Gurgaon","[28.46844296312717,77.01726124652139]",b1b3de810f1d46619cd868a470ab831c
93,RAHILBEG HOUSENO41002NDFLOORSECTOR23A - - GURUGRAM,"[28.50647582,77.04892832]",b1b3de810f1d46619cd868a470ab831c
94,"G-236 Ground floor Palam Vihar, Palam Vihar  (Gurg aon) - - -","[28.51584751,77.04149899]",b1b3de810f1d46619cd868a470ab831c
95,"3419,near gate number 3, sector 23,Gurgaon, Sector 23 ,near gate no 3, gurgaon - - -","[28.5105411,77.0451188]",b1b3de810f1d46619cd868a470ab831c
96,"House no. 402 N,north block,,Jammu and kashmir ban k group housing society,sect - - GURUGRAM","[28.46764662,76.9921206]",b1b3de810f1d46619cd868a470ab831c
97,ANUPAMA YADAV HOUSE NO 14305 GALI NO 7 PATEL NA GAR - GURUGRAM,"[28.4615146,77.0409545]",b1b3de810f1d46619cd868a470ab831c
98,"Sco 43 , old judicial complex,Near clarks inn hote l,Sector 15 part 1, Mini Sectt. - - -","[28.4576813,77.0339723]",b1b3de810f1d46619cd868a470ab831c
99,VIKRAM ARORA 4639SECTOR 23A - - GURGAON,"[28.506365320645273,77.03963058069348]",b1b3de810f1d46619cd868a470ab831c
100,"MONICA ROHILLA SECTOR 49 TOWER F 704, WEMBEY ESTATE, ROSEWOOD CITY - GURUGRAM","[28.4139786,77.0562736]",48b6dba5107b422fb17325c85021dd4f
101,"NM-13, 2nd floor, old dlf sector 14 Gurgaon - - Gurgaon","[28.4699135,77.0451014]",b1b3de810f1d46619cd868a470ab831c
102,"MAULIK CHOPRA HOUSE NO 312 , SECTOR 12 A , NEAR PEER BABA MANDIR - GURUGRAM","[28.4682331,77.0362475]",b1b3de810f1d46619cd868a470ab831c
103,GUNJAN C-1905ANSALSPALAMVIHAR1STFLOOR GURG AONNEARBHEJGERARAILWAYSTA - GURUGRAM,"[28.50768732,77.02749017]",b1b3de810f1d46619cd868a470ab831c
104,"JMD megapolis, 6th floor, Unit no 630 - 637 A,Sect or 48, Sohna road - - GURUGRAM","[28.5053093,77.0380572]",be7261b61da149aa805e10f395c46ed3
105,"GATIME SHARP INDUSTRIES, SECTOR-18, PLOT-32 NEAR MARUTI INDUSTRIA - GURGAON","[28.488122,77.0661215]",b1b3de810f1d46619cd868a470ab831c
106,NONE HNO9053GALINO3ASHOKVIHARPH1AS HOKVIHAR - GURGAON,"[28.4841203,77.0150467]",b1b3de810f1d46619cd868a470ab831c
107,SUSHIL KAUSHIK D 271 SUSHANT LOK 1  GURGAON - - GURGAON,"[28.456833333333332,77.07591333333333]",48b6dba5107b422fb17325c85021dd4f
108,"House No 3636, 1st Floor, Sector 23, gurgaon, - - - Gurgaon,","[28.5074965,77.0501499]",b1b3de810f1d46619cd868a470ab831c
109,lawrence and mayo E-23 supermart -2DLF Phase 4 - Gurugram - Gurugram,"[28.48678956,77.06251453]",48b6dba5107b422fb17325c85021dd4f
110,PANKAJ ALMADI 1056 SECTOR 14 - - GURGAON,"[28.470928333333337,77.04710666666666]",a67a898ec4f4482bb79ee39293c330e9
111,Laburnum apartment. LTH 302- A Near galleria - - Gurugram,"[28.471401929855347,77.0754325389862]",48b6dba5107b422fb17325c85021dd4f
112,AASHUTOSHSONIYA B828GFPALAMVIHAR - - GURGAON,"[28.504592,77.0315525]",b1b3de810f1d46619cd868a470ab831c
113,"Kuldeep PG, Room No 202, Secto r 12 r 12 - Gurgaon","[28.467405438423157,77.0333057641983]",b1b3de810f1d46619cd868a470ab831c
114,AAKRITISABHARWAL THESOUTHCLOSEAPARTMENTSTOWER14 HOUS ENUMBER801NIRVANACOUNTRY - GURGAON,"[28.411272168159485,77.0677399635315]",be7261b61da149aa805e10f395c46ed3
115,SONIAMEWARI HOUSENO1438SECTOR17C - - GURUGRAM,"[28.472778333333334,77.06124333333334]",b1b3de810f1d46619cd868a470ab831c
116,"HNO.107 Ground Floor Housing Board ColonyJharsa Ro ad Opposite Jyoti Hospital Sector 15 Part 2 Gurgao n 122001, Gurgaon, - Gurgaon,","[28.458185000000004,77.03676999999999]",a67a898ec4f4482bb79ee39293c330e9
117,jabong india plot no 82; sector 18 - Gurugram - Gurugram,"[28.48318356,77.06815249]",b1b3de810f1d46619cd868a470ab831c
118,"HOUSE NO-3057 , SECTOR 23, NEAR BY SWISS COTTAGE S Sector 23 Gurugram Sector 23 Gurugram - GURGAON","[28.514191545546055,77.0486903283745]",b1b3de810f1d46619cd868a470ab831c
119,GAURAV 293CMAIN WALI COLONY - - GURUGRAM,"[28.469126511822818,77.0312822792892]",b1b3de810f1d46619cd868a470ab831c
120,"Plot no. 426, Smile building, udyog vihar phase 3 , Udyog vihar phase 3 Gurgaon - -","[28.5117001,77.0900816]",a67a898ec4f4482bb79ee39293c330e9
121,SIMRAN CW31FIRSTFLOORMALIBUTOWNSOHNAR OAD - GURGAON,"[28.426077961921692,77.05060601234436]",be7261b61da149aa805e10f395c46ed3
122,"H.no-15, gali no 7b, near hanuman mandir, ashok vi har, phase-1, Ashok vihar, phase-1 - - -","[28.484866887054693,77.01766315294962]",b1b3de810f1d46619cd868a470ab831c
123,House no 687 sector 38 gurgoan Near medanta hospital - - Gurugram,"[28.425487875938416,77.0560348033905]",be7261b61da149aa805e10f395c46ed3
124,"I-013,Rail-vihar sector 15 part 2, Gurgaon South C ity I - - -","[28.45494389,77.04061288]",b1b3de810f1d46619cd868a470ab831c
125,"1031 sector-4, Gurgaon - Gurgaon - Gurgaon","[28.472907363907623,77.0122502347356]",b1b3de810f1d46619cd868a470ab831c
126,VIPULVIKASSINGH HOUSENO284TOPFLOORSECTOR10 - - GURUGRAM,"[28.452256666666667,76.99723833333334]",b1b3de810f1d46619cd868a470ab831c
127,"3335,c-1,chandralok society,dlf phase-4,gurugram, Chakkarpur - - -","[28.472372889518738,77.08065748214722]",48b6dba5107b422fb17325c85021dd4f
128,NISHAHOODA HNO1342FIRSTFLOORSECTOR4 - - GURUGRAM,"[28.4763595,77.0066909]",b1b3de810f1d46619cd868a470ab831c
129,"Unitech Signature Towers- II, Tower A Near 32 Milestone - - Gurgaon","[28.478681445121765,77.0624452829361]",a67a898ec4f4482bb79ee39293c330e9
130,"OYOROOMS Spaze palazo, 8th floor, golf course ext road, sohna road ,sector-69, Sector-69 - - -","[28.3991503,77.0385798]",be7261b61da149aa805e10f395c46ed3
131,"A15, First Floor. Carlton Estate IV, DLF Phase V, Sector 53, Phase V - - -","[28.449171781539917,77.09508776664734]",48b6dba5107b422fb17325c85021dd4f
132,"HNO 436, Sector-5, Urban Estate, Gurgaon, Urban Es tate  (Gurgaon) - - -","[28.48393869,77.01862332]",b1b3de810f1d46619cd868a470ab831c
133,SONAM GOYAL HOUSE NO. 152  SECTOR 5 PART 3   GURGAON - GURGAON,"[28.4848809,77.0182516]",b1b3de810f1d46619cd868a470ab831c
134,"GP22B,  GurgaonOne apartment, near maruti factory , Sector 22, - - -","[28.5014317,77.0645924]",b1b3de810f1d46619cd868a470ab831c
135,"J. 218. Vijay Rattan Vihar , Gurgaon sector 15 par t 2, - - Gurgaon,","[28.47682535648346,77.04228043556213]",b1b3de810f1d46619cd868a470ab831c
136,"Flat no. 1402, Tower 1 , The Close North, Nirvana Country, Sector 50, Gurgaon South City II, - - -","[28.4377226,77.062541]",48b6dba5107b422fb17325c85021dd4f
137,SEEMASINGHSETHI F503CELEBRITYHOMESANSALPALAMVI HAR - GURGAON,"[28.51354352,77.0359442]",b1b3de810f1d46619cd868a470ab831c
138,TARUN BEDI C-1641 ANSAL PALAM VIHAR GURGAONHARYANA - GURGAON,"[28.50453479681164,77.02893569134176]",a67a898ec4f4482bb79ee39293c330e9
139,"Aditya Birla Health Insurance Co. Ltd. SCO-24, Fir st Floor, Sector-14, Above Pizza Hut, Gurgaon - - -","[28.47564,77.04457000000001]",b1b3de810f1d46619cd868a470ab831c
140,"House No.31,Gali No.4,West Rajeev Nagar,Gurgaon, H aryana, Rajeev Nagar (west) - - -","[28.47403984,77.03361338]",b1b3de810f1d46619cd868a470ab831c
141,candor infospace gate no 2 near hanuman ma - Gurugram - Gurugram,"[28.510266666666666,77.07357999999999]",b1b3de810f1d46619cd868a470ab831c
142,"Basement, 285, Sector 28, Gurgaon Opposite sheeba apartments - - Gurgaon","[28.46932590007782,77.08828568458557]",48b6dba5107b422fb17325c85021dd4f
143,CDD-SOLAR-SUL-B SOUTH INDIAN CORNER  BHEEM NAGAR CHOWK VIJAY MARKET NEW - GURGAON,"[28.4698633,77.02347]",b1b3de810f1d46619cd868a470ab831c
144,Plot 244-245 udyog vihar phase 4 Bechtel office - - Gurgaon,"[28.49597796332091,77.08443185314536]",a67a898ec4f4482bb79ee39293c330e9
145,"ROHIT PRAKASH H.NO.455 VISHWAKARMA COLONY, BASAI ROADNEAR SEC-9 GOVT. - GURGAON","[28.4571253,76.9998803]",b1b3de810f1d46619cd868a470ab831c
146,"house no.25,gali no.2,sheetla enclave,phase 3,near vidyawati dharamsala,gurgaon., sheetla mata road - - -","[28.4790787,77.0335433]",b1b3de810f1d46619cd868a470ab831c
147,"House no-7482, patel nagar gurgaon, Gurgaon South City I - - -","[28.459412455558777,77.03641712665558]",a67a898ec4f4482bb79ee39293c330e9
148,RAJIV RANJAN 804 DIVYA APARTMENT SECTOR 56 PLOT GH7 - GURGAON,"[28.420933,77.0977682]",48b6dba5107b422fb17325c85021dd4f
149,"ANAND SHANKAR FLAT NOS : 302 , TOWER : 2 PARK VIEW RESIDENCY, PALAM - GURGAON","[28.4981426,77.0219117]",b1b3de810f1d46619cd868a470ab831c
150,RAHUL KALA B 10 302 TULIP VIOLET SECTOR 69 - GURUGRAM,"[28.392217755317688,77.03365445137024]",be7261b61da149aa805e10f395c46ed3
151,D2 4th floor JBM Residency Plot 8 - Gurugram - Gurugram,"[28.50228488445282,77.03121900558472]",a67a898ec4f4482bb79ee39293c330e9
152,"Flat no ,D- 1102Tulip ivory - - - HSIIDC SOHNA","[28.39456579,77.02978416]",be7261b61da149aa805e10f395c46ed3
153,"VISHNU KUMAR,VILL-MOLLAHERA(NE AR-MATA CHOWK),POST-MARUTI - - GURGAON","[28.502703333333336,77.06566500000001]",a67a898ec4f4482bb79ee39293c330e9
154,-4Hanuman Mandir infospace Sector 21 - - - -,"[28.5103971,77.0730732]",534e3eef923c4866b75b29ec6dcc0f68
155,AKHILENDU SRIVASTA B-744ANSAL'S PALAM VIHAR - - GURGAON,"[28.504518333333333,77.0326]",b1b3de810f1d46619cd868a470ab831c
156,53716 civil lines gurugram Near rajeev chowk gurugram - - Gurugram,"[28.4484,77.03336833333333]",b1b3de810f1d46619cd868a470ab831c
157,"MANVI GOYAL X-16,REGENCY PARK 2,DLF PHASE-4 - GURGAON","[28.453971666666668,77.08036166666668]",48b6dba5107b422fb17325c85021dd4f
158,ANIL YADAV SO ATAR SINGH YADA V VILLAGEKADIPUR SECTOR 10 GUR UGRAM HARYANA - GURUGRAM,"[28.44998427,77.00086291]",b1b3de810f1d46619cd868a470ab831c
159,"RIDOO SANKHLA B-604 ALAKNANDA APTS SECTOR-56 ,GU RGAON - GURGAON","[28.4300069,77.1037993]",48b6dba5107b422fb17325c85021dd4f
160,Unimrkt Research 326 Udyog V - Gurugram - Gurugram,"[28.499045739881694,77.0827339310199]",b1b3de810f1d46619cd868a470ab831c
161,ASHU INFRACON PVT LTD 207 QUTAB PLAZA 2ND FLOOR DLF PHASE-1 GURGAON - GURGAON,"[28.4719052,77.101815]",48b6dba5107b422fb17325c85021dd4f
162,unitech infospace building-1t - Gurugram - Gurugram,"[28.51027,77.07361999999999]",a67a898ec4f4482bb79ee39293c330e9
163,"# 931, 1st Floor, Opp. Media house society, Sector r 47, - - Gurgaon","[28.42919024,77.04384217]",be7261b61da149aa805e10f395c46ed3
164,RENU JAIN 5735 ST. NO.4APATEL NAGAR - - GURGAON,"[28.505325,77.0381217]",a67a898ec4f4482bb79ee39293c330e9
165,AMIT MALIK C - 1648  GROUND FLOOR  C - BLOCK PALAM VIHAR  (GURGAON) - GURGAON,"[28.50484562,77.02841598]",a67a898ec4f4482bb79ee39293c330e9
166,"RIYA 1083 LAXMAN VIHAR, PHASE -2 - - GURUGRAM","[28.4792055,77.0074525]",b1b3de810f1d46619cd868a470ab831c
167,"SECTOR-47, ATLANTIS SOCIETY, FLAT NO-501, 5TH FLOO Gurugram Gurugram - GURGAON","[28.42834711074829,77.04385221004486]",be7261b61da149aa805e10f395c46ed3
168,"Flat 14A, tower 6, Bellevue Towers, Central Park 2 Sohna Road, Sector 48 - - GURUGRAM","[28.422165965268903,77.03445844567695]",be7261b61da149aa805e10f395c46ed3
