,addr,loc,d_hub
39,1068/31 laxman vihar sector 3a gurugram  122001 ,"[28.48281028869231,77.01114540923216]",POWERGRID
40,nh919 sohna  122103 ,"[28.23906604977855,77.04908457900021]",POWERGRID
41,badshapur chowk sector 69 gurugram  122101 ,"[28.40196251409476,77.04358123098416]",POWERGRID
42,summer sprint 2  122005 ,"[28.397752587228876,77.17563642639313]",POWERGRID
43, qutub vihar phase 2 goyla village delhi 110071 ,"[28.56843106176704,77.02401449568303]",POWERGRID
44,manger - dhauj rd selakhari  121005 ,"[28.35219852300587,77.20062613087083]",POWERGRID
45,dwaraka expressway dhanwanpur village sector 104 gurugram  122006 ,"[28.476786851234955,76.98089768064382]",POWERGRID
46,rd number 1 rangpuri pahari rangpuri new delhi delhi 110076 ,"[28.53290361262855,77.13270511008398]",POWERGRID
47, 122505 ,"[28.499320046179104,76.92036619163505]",POWERGRID
48,  122503 ,"[28.394389960478588,76.8582786652137]",POWERGRID
49, bsf camp chawala chhawla delhi 110071 ,"[28.55235320734611,77.00986957011042]",POWERGRID
50,gurugram rd budhera gurugram  122006 ,"[28.47178816113112,76.94662996616357]",POWERGRID
51,1803 sarswati kunj ii wazirabad sector 52 gurugram  122003 ,"[28.439846248079842,77.08541920760881]",POWERGRID
52,western peripheral expy sehsaula  122103 ,"[28.206711029789396,77.02090681648613]",POWERGRID
53,132 inf bn jonapur freedom fighter uda devi park ambedkar colony mandi new delhi delhi 110047 ,"[28.454341457455698,77.13996956564527]",POWERGRID
54,  122102 ,"[28.287003667176485,77.18894837916109]",POWERGRID
55,narayan bhawan h no. 22 sadharana mahadev nagar tekra sadrana  122505 ,"[28.450581879413658,76.91942064246997]",POWERGRID
56, dadu  122015 ,"[28.297035878814484,76.97317320684819]",POWERGRID
57, sector 81 gurugram  122051 ,"[28.385054683896403,76.94474497402037]",POWERGRID
58, aya nagar phase 1 aya nagar new delhi delhi 110047 ,"[28.48126297111362,77.13833295737987]",POWERGRID
59,kaliawas - sultanpur road kaliawas gurugram  122006 ,"[28.475995537104716,76.88534118452263]",POWERGRID
60,damdama lake  122102 ,"[28.31381107815371,77.14227544838704]",POWERGRID
61,one farms road rahaka  122102 ,"[28.258140906609043,77.15786244185026]",POWERGRID
62,60 att 110010 ,"[28.581475827032573,77.10169746842216]",POWERGRID
63, junapur village jaunapur new delhi delhi 110047 ,"[28.45517252468192,77.15758722480712]",POWERGRID
64,damdama lake  122102 ,"[28.31340612187911,77.12839443583891]",POWERGRID
65, dhumaspur  122005 ,"[28.381987293843206,77.07503909486236]",POWERGRID
66,village manger faridabad post office dhoj mangar  121004 ,"[28.38020443688445,77.17415295754316]",POWERGRID
67,farm no 36 dera mandi rd dera village dera mandi new delhi delhi 110074 ,"[28.44412690342969,77.16321220499309]",POWERGRID
68,damdama lake rd  122102 ,"[28.346363921719124,77.07860627320598]",POWERGRID
69, bhatti kalan new delhi delhi 110074 ,"[28.428164377239113,77.20028869002356]",POWERGRID
70, gurugram  122051 ,"[28.35770927029936,76.88609347883057]",POWERGRID
71, asola new delhi delhi 110074 ,"[28.460710464073845,77.21409205785122]",POWERGRID
72, goyla dairy goyla village delhi 110071 ,"[28.581265404046555,77.02080121485056]",POWERGRID
73,c2 internal rd 2 block c 2 sector 3 gurugram  122017 ,"[28.498858271227757,77.02152347114045]",POWERGRID
74,farukh nagar - wazirpur rd  122505 ,"[28.44179229611414,76.8396237043372]",POWERGRID
75, dera mandi new delhi delhi 110074 ,"[28.42624058164444,77.17950357686499]",POWERGRID
76,sprint3  122005 ,"[28.367426507690414,77.14612134950787]",POWERGRID
77,manger - dhauj rd  121005 ,"[28.37146107502076,77.17264743263542]",POWERGRID
78,asola farm rd asola new delhi delhi 110074 ,"[28.450733618423637,77.22285584747064]",POWERGRID
79, mittal garden sainik farm new delhi delhi 110016 ,"[28.514193442135905,77.19243462013688]",POWERGRID
80, paprawat delhi 110043 ,"[28.57359494557159,76.97433026843215]",POWERGRID
81,15 block c uppal southland st block s uppal southend sector 49 gurugram  122018 ,"[28.411128444677175,77.05017024667066]",POWERGRID
82,vill- pathredi mdr132  122015 ,"[28.272066168389134,76.88764902440018]",POWERGRID
83,pataudi rd tajnagar  122051 ,"[28.38102043786969,76.84085193027904]",POWERGRID
84, junapur village jaunapur new delhi delhi 110047 ,"[28.45903477893293,77.15177507987478]",POWERGRID
85, imt manesar gurugram  122052 ,"[28.386087428667864,76.9092399340055]",POWERGRID
86,main jhatikra road jhatikra gurugram  110043 ,"[28.520522265210666,76.96940154695291]",POWERGRID
87,rampura-mohammadpur road  122103 ,"[28.293140745015883,77.01209295614669]",POWERGRID
88,sushil nagar ward no. 3 raghav vatika sohna  122103 ,"[28.258586876082934,77.07483835103952]",POWERGRID
89, chitter sain  122413 ,"[28.33204863194989,76.84718222997114]",POWERGRID
90,dcr marg fatehpur  122015 ,"[28.253596525478514,76.90163031576182]",POWERGRID
91,sohna rural  ,"[28.267340522283792,77.0337233242654]",POWERGRID
92, gurugram  122051 ,"[28.356521798905465,76.88913165116115]",POWERGRID
93,tajnagar  ,"[28.397726621570243,76.83902891176864]",POWERGRID
94,indira gandhi international airport (del) new delhi delhi 110037 ,"[28.57186345407604,77.11534044292239]",POWERGRID
95, asalatpur khadar delhi 110043 ,"[28.53284786310357,76.95654282936198]",POWERGRID
96,pataudi rd gurugram  122505 ,"[28.43283104372805,76.96694735905108]",POWERGRID
97,to museum sector 78 gurugram  122101 ,"[28.37362264994336,76.97841133674149]",POWERGRID
98, 122103 ,"[28.206014946269498,77.00416694656946]",POWERGRID
99, 122102 ,"[28.267318222702414,77.1028991912653]",POWERGRID
100,boys hostel nlu delhi national law university delhi campus pocket 1 sector 14 dwarka dwarka delhi 110078 ,"[28.600000489445684,77.02474962831674]",POWERGRID
101, karnki  122102 ,"[28.23555784751787,77.13539450691444]",POWERGRID
102,baluda  122102 ,"[28.250828277970736,77.10471435647726]",POWERGRID
103, 122506 ,"[28.3992256366055,76.8351452601292]",POWERGRID
104,hasanpur village hasanpur delhi 110073 ,"[28.556299392049276,76.93459946594902]",POWERGRID
105,plot no 4 near muni mandir street no 2 garhi harsaru gurugram  122505 ,"[28.450556895436407,76.93850942921361]",POWERGRID
106,new sector rd gurugram  122051 ,"[28.38127939711219,76.96091927016309]",POWERGRID
107,padheni  ,"[28.231084413756772,77.00037947031483]",POWERGRID
108,chehalka  122102 ,"[28.266116518652467,77.01466159106566]",POWERGRID
109, ghumanabad ghummanhera delhi 110073 ,"[28.53116158225652,76.92419479270048]",POWERGRID
110,kalu ram rd raghopur delhi 110071 ,"[28.523509901219192,77.00629842358094]",POWERGRID
111,  122102 ,"[28.367908141625193,77.13802744810415]",POWERGRID
112, mankrola gurugram  122006 ,"[28.50781385461708,76.92072218556801]",POWERGRID
113,  122102 ,"[28.40017851549743,77.1163297586098]",POWERGRID
114,abhepur  122102 ,"[28.29085141580139,77.11276954082555]",POWERGRID
115, gurugram  122051 ,"[28.341769366600875,76.91735821689322]",POWERGRID
116,tikli  ,"[28.353105970839486,77.03857539338908]",POWERGRID
117,camp wild road  121005 ,"[28.386974627466582,77.18914847941697]",POWERGRID
118, maruti kunj  122102 ,"[28.359200397036798,77.0847741728283]",POWERGRID
119,lake  121004 ,"[28.392605291853457,77.19806160486841]",POWERGRID
120, gurugram  122051 ,"[28.362109150740686,76.8940908582367]",POWERGRID
121,mdr137 dera mandi new delhi  110074 ,"[28.408841640748125,77.18942203563013]",POWERGRID
122,sprint3  122102 ,"[28.352863664452943,77.14202280679]",POWERGRID
123, raiseena  122102 ,"[28.285900628754238,77.0273301359497]",POWERGRID
124,najafgarh dauralla rd pandwalan kalan delhi 110073 ,"[28.560225202939918,76.93953847324656]",POWERGRID
125,kharkhari round delhi 110073 ,"[28.561371694747194,76.93480640047366]",POWERGRID
126,843f+w2 damdma  #122 v. p. o damdama lake damdma  122102 ,"[28.304726211367797,77.12444154002883]",POWERGRID
127,tajnagar  ,"[28.390078474116358,76.83750080897698]",POWERGRID
128,gurgaon farukh nagar rd sultanpur  122006 ,"[28.454214625598905,76.8471744692072]",POWERGRID
129,terminal 1 rd mehram nagar west mehram nagar new delhi delhi 110010 ,"[28.565737993187707,77.12664229527348]",POWERGRID
130,amity university connecting rd gurugram  122015 ,"[28.322987138825372,76.91044456286053]",POWERGRID
131,one farms road rahaka  122102 ,"[28.25823310468431,77.15507178810405]",POWERGRID
132,mdr 133  122102 ,"[28.245441501795177,77.12341358883545]",POWERGRID
133, westend dlf chattarpur farms dlf farms new delhi delhi 110030 ,"[28.484901729864397,77.15507829881538]",POWERGRID
134,alimar more sector 8 imt manesar gurugram  122051 ,"[28.372385525170603,76.89642504168928]",POWERGRID
135,maulsari ave avenue bouganvillea rangpuri new delhi delhi 110038 ,"[28.5224977796988,77.10803870159533]",POWERGRID
136,golf course rd sector 24 dwarka dwarka delhi 110075 ,"[28.571310719402156,77.03999005319433]",POWERGRID
137,dhoolsiras road sector 24 dwarka dwarka new delhi delhi 110061 ,"[28.55477458163816,77.03874622632488]",POWERGRID
138,409 to 416 sector 19 pocket 2 dwarka delhi 110075 ,"[28.579970331625937,77.04398523476598]",POWERGRID
139, sector 80 gurugram  122101 ,"[28.366814645153784,76.95538902623647]",POWERGRID
140, garat pur bas  122103 ,"[28.337592368313356,77.00616371997464]",POWERGRID
141,kasan rd gurugram  122051 ,"[28.358468410615867,76.91030811556338]",POWERGRID
142,j-103 new palam vihar new palam vihar phase 1 sector 110 gurugram  122017 ,"[28.50685588040139,77.0198826097219]",POWERGRID
143,c4 pocket 4 sector c vasant kunj new delhi delhi 110070 ,"[28.537865648923496,77.15063617305928]",POWERGRID
144, mandawar  122102 ,"[28.287627494894505,77.15257356042162]",POWERGRID
145,4 idc prem motor workshop sector 15 part 2 sector 14 gurugram  122022 ,"[28.4668887246138,77.04466548572327]",POWERGRID
146,h-49/7 vikram vihar shankar vihar new delhi delhi 110010 ,"[28.556288272434887,77.14522326951996]",POWERGRID
147,  122102 ,"[28.34796070866782,77.13085985423074]",POWERGRID
148, gurugram  122051 ,"[28.35223101605503,76.9572630104183]",POWERGRID
149, 122505 ,"[28.479989894564596,76.85971711175378]",POWERGRID
150,1586 avenue 13 shanti kunj b block anand gram ghitorni church rd delhi 110070 ,"[28.50729175767209,77.12919639038425]",POWERGRID
151, 122413 ,"[28.294535305339885,76.93192385684895]",POWERGRID
152,st mary rd shankar vihar new delhi delhi 110057 ,"[28.56772839823385,77.14428143348796]",POWERGRID
153,bajghera rd sector 112 bajghera gurugram  122017 ,"[28.534676423036665,77.02061372976566]",POWERGRID
154,  122102 ,"[28.33935670925409,77.15752243491157]",POWERGRID
155,behind govt girls high school kadarpur road badshahpur gurugram  122018 in kadarpur rd sector 67 gurugram  122018 ,"[28.387963897510215,77.05291566469847]",POWERGRID
156, patli hajipur  122505 ,"[28.415827374093716,76.88877980023604]",POWERGRID
157,7 north circular road dera village dera mandi new delhi delhi 110047 ,"[28.450485364921487,77.16551239123679]",POWERGRID
158,  122102 ,"[28.298336362744983,77.18343433076504]",POWERGRID
159,vill- pathredi mdr132  122015 ,"[28.27081924447898,76.88961873417566]",POWERGRID
160, ghummanhera delhi 110073 ,"[28.520777479869064,76.92808641343115]",POWERGRID
161, gurugram  122505 ,"[28.458843554116257,76.9565118314661]",POWERGRID
162,raheja vedaanta tower ghi & floors 122017 sector 108 gurugram  122017 ,"[28.51481706108755,76.98500495510221]",POWERGRID
163, gothda mohbtabad  121004 ,"[28.39742980253422,77.20997503644932]",POWERGRID
164, sector 72a sector 72 gurugram  122004 ,"[28.42322642079018,77.01597631280765]",POWERGRID
165, 122102 ,"[28.30371116764835,77.03248575114476]",POWERGRID
166,western peripheral expy gurugram  122051 ,"[28.35115198111698,76.87983916252215]",POWERGRID
167, 122102 ,"[28.28875476323396,77.14637042770235]",POWERGRID
168, 122505 ,"[28.506800372886097,76.92917630683573]",POWERGRID
169, gurugram  122505 ,"[28.462235761093577,76.94574251055286]",POWERGRID
170,nh919 sehsaula  122103 ,"[28.23527395689303,77.02477545532047]",POWERGRID
171, ujwa delhi 110073 ,"[28.560577581870355,76.91094829864586]",POWERGRID
172,shop no.4 old delhi road near shani mandir serhaul mode opp sec 18 gurugram  122015 ,"[28.48935528428332,77.04586476539855]",POWERGRID
173, baharampur naya sector 61 gurugram  122102 ,"[28.41605732039161,77.10056323821156]",POWERGRID
174,580 vikas nagar sector 10 gurugram  122001 ,"[28.453035325851985,77.00238501680155]",POWERGRID
175, 121004 ,"[28.384609053701425,77.16914126252249]",POWERGRID
176,kharkhari  122103 ,"[28.208410705012035,76.9971366635303]",POWERGRID
177,rd number 30 daulatpur delhi 110043 ,"[28.54602305922801,76.95224418157451]",POWERGRID
178, 122102 ,"[28.316873732725515,77.09586075654566]",POWERGRID
179,  122102 ,"[28.385821190652802,77.1418918784229]",POWERGRID
180,gurjar kotwal dhansingh marg saini colony sohna rural  122103 ,"[28.259508054804442,77.06720773797292]",POWERGRID
181, sector 89 gurugram  122004 ,"[28.420219667664306,76.94187838209187]",POWERGRID
182, jainpur village delhi 110073 ,"[28.544498806800863,76.93349262092589]",POWERGRID
183,18 south dr chhatarpur farms dlf farms new delhi delhi 110030 ,"[28.477648125908814,77.16717916743049]",POWERGRID
184,aklimpur - teekli rd nurpur jharsa  122101 ,"[28.375625498461403,77.04327738903524]",POWERGRID
185, gurugram  122051 ,"[28.349954923358315,76.93319722477102]",POWERGRID
186, chandla dungerwas  122413 ,"[28.309464698065952,76.90506087169992]",POWERGRID
187, 121004 ,"[28.394719863818978,77.19622327051114]",POWERGRID
188,383 medicity islampur colony sector 38 gurugram  122022 ,"[28.433923367301325,77.04585134761975]",POWERGRID
189,pawta road selakhari  121005 ,"[28.367165018697452,77.19999858092899]",POWERGRID
190, bandhwari  122102 ,"[28.400472269747738,77.14149031495181]",POWERGRID
191, 122102 ,"[28.25160386798415,76.97011097300626]",POWERGRID
192, harchandpur  122102 ,"[28.265271070170584,77.13487578109626]",POWERGRID
193,western peripheral expy jhanjraula  122006 ,"[28.47824117170769,76.85472375364925]",POWERGRID
194,f-255 & 256 block f new palam vihar phase 2 sector 110 gurugram  122017 ,"[28.516065203207038,77.02061095899374]",POWERGRID
195,9/2009 dev kunj palam extension palam colony new delhi delhi 110077 ,"[28.582689466419588,77.07556774339702]",POWERGRID
196, shikarpur delhi 110043 ,"[28.524193672144442,76.94985097924567]",POWERGRID
197, garhi harsaru gurugram  122505 ,"[28.441626702823992,76.92192833607614]",POWERGRID
198, bhim basti jaunapur new delhi delhi 110047 ,"[28.460281535930473,77.14190159708676]",POWERGRID
199,  122102 ,"[28.36616684277024,77.11841086865174]",POWERGRID
200, milakpuri kohi rangpuri rangpuri new delhi delhi 110070 ,"[28.525932974806246,77.12463573593509]",POWERGRID
201,kot  ,"[28.315928122672965,77.16553983675819]",POWERGRID
202,ls-1&9 daulatpur delhi 110043 ,"[28.5422379534868,76.96124724848266]",POWERGRID
203,h-29/2 shankar vihar mahipalpur new delhi delhi 110037 ,"[28.54807249354588,77.13911367245443]",POWERGRID
204,jhuljhuli x-ing jhuljhuli delhi ,"[28.531843913935713,76.90605742357432]",POWERGRID
205,kharkhari  122103 ,"[28.20881834630313,76.99703820709489]",POWERGRID
206, badusarai delhi 110071 ,"[28.529457026252096,76.98776041086319]",POWERGRID
207, sector 68  122101 ,"[28.373816348400084,77.04718530859645]",POWERGRID
208,  122506 ,"[28.46187494367331,76.84285936132852]",POWERGRID
209,camp wild road mangar  121005 ,"[28.37912049362573,77.17386948158536]",POWERGRID
210,kite- early intervention therapeutic pvt ltd a-18 florence villa golf course ext rd sushant lok iii sector 57 gurugram  122003 ,"[28.41834187433934,77.08148248305747]",POWERGRID
211,shivaji marg avenue bouganvillea rangpuri new delhi delhi 110038 ,"[28.53077715938369,77.11324513534545]",POWERGRID
212,371 jwala mill road electronic city phase iv sector 18 gurugram  122022 ,"[28.50386568537579,77.07080255568215]",POWERGRID
213,darbaripur rd sector 69 gurugram  122101 ,"[28.39310544923695,77.03951534796157]",POWERGRID
214,nekpur road pakhal  121005 ,"[28.361551628606893,77.2233379464818]",POWERGRID
215, sultanpur gurugram  122505 ,"[28.449449946456337,76.86745992333181]",POWERGRID
216,603 harizan colony sector 43 gurugram  122029 ,"[28.45227316552121,77.09133668496936]",POWERGRID
217, gurugram  122004 ,"[28.38013278256624,76.94791785121845]",POWERGRID
218,sohna tehsil gurgaon district sancholi  122103 ,"[28.230441806949038,77.12130531169015]",POWERGRID
219,29d/4 &29  royal complex newdelhi 10 desu road ward number 1 mehrauli village mehrauli new delhi delhi 110030 ,"[28.525015487349496,77.18031149485496]",POWERGRID
220,221 sohna rd bhondsi gurugram  122102 ,"[28.349818558892096,77.06591615778478]",POWERGRID
221,  122102 ,"[28.338426160164232,77.11539286796354]",POWERGRID
222,darbaripur rd darbaripur sector 70 gurugram  122101 ,"[28.388751533903736,77.01053872399095]",POWERGRID
223,e-2243 pocket f sector 2 palam vihar gurugram  122017 ,"[28.508868760330408,77.03449109653913]",POWERGRID
224,pataudi rd harsaru sector 88 gurugram  122505 ,"[28.43452008412877,76.96517392977587]",POWERGRID
225,sprint3  122102 ,"[28.36056790937829,77.1555255550423]",POWERGRID
226,  122503 ,"[28.362402816185583,76.84306181697166]",POWERGRID
227, bandhwari  122102 ,"[28.39996219302695,77.13666773034264]",POWERGRID
228, kherki majra dhankot gurugram  122006 ,"[28.493403968444586,76.96347590971814]",POWERGRID
229,western peripheral expy padheni  122103 ,"[28.218382731103052,76.99364137880116]",POWERGRID
230, 122102 ,"[28.32602513342647,77.09185832104454]",POWERGRID
231, imt manesar gurugram  122052 ,"[28.383809992136126,76.87686912172514]",POWERGRID
232, om nagar budhera gurugram  122006 ,"[28.47471415636562,76.91461282770116]",POWERGRID
233, sector 75a gurugram  122004 ,"[28.39627651008998,77.00342116282613]",POWERGRID
234,2697 pocket f sector 2 palam vihar gurugram  122017 ,"[28.51324888067479,77.03533716771283]",POWERGRID
235,  122413 ,"[28.340131359119376,76.86867136764249]",POWERGRID
236,khasra no 4627 & 4629 195 &198 gurugram  122006 ,"[28.4898600084299,76.99904422929892]",POWERGRID
237, 122102 ,"[28.28148288915511,77.1719598562267]",POWERGRID
238, 122102 ,"[28.304104124884322,77.07075811268348]",POWERGRID
239,1187 sector 19 pocket 3 dwarka delhi 110075 ,"[28.5844522524029,77.04534785118757]",POWERGRID
240,dwaraka expressway gurugram  122006 ,"[28.47501413236493,76.97861830324821]",POWERGRID
241,pataudi rd gurugram  122051 ,"[28.39220186737694,76.85796837630144]",POWERGRID
242, block e aya nagar extension aya nagar new delhi delhi 110047 ,"[28.469762330570887,77.1264390088421]",POWERGRID
243,air force station 13 brd volleyball court prahladpur delhi cantonment new delhi delhi 110010 ,"[28.57486488433142,77.0908043465668]",POWERGRID
244, para  122413 ,"[28.287697434253335,76.92874112615182]",POWERGRID
245, dera mandi bandhwari delhi 122102 ,"[28.423390724528076,77.16012472411721]",POWERGRID
246,vasant kunj e-2 rangpuri pahari vasant kunj new delhi delhi 110070 ,"[28.538435765511917,77.13171713097927]",POWERGRID
247, badusarai delhi 110071 ,"[28.529556269423242,76.99540183172282]",POWERGRID
248,  122102 ,"[28.37595381415714,77.09431528673888]",POWERGRID
249,house no 144 (basement) near raheja atlantis gate sector 31 gurugram  122001 ,"[28.452440029286922,77.04406467260826]",POWERGRID
250, raota delhi 110073 ,"[28.5190657701481,76.91564742833333]",POWERGRID
251, sector 36b gurugram  122004 ,"[28.42850920316811,76.96499468077124]",POWERGRID
252, gurugram  122004 ,"[28.3881686460818,76.96640420757724]",POWERGRID
253,summer sprint gothda mohbtabad  121005 ,"[28.39256235096993,77.21498884329773]",POWERGRID
254, sector 107 gurugram  122006 ,"[28.502976409609694,76.979704446756]",POWERGRID
255,school road kharkhari  122103 ,"[28.206558065935745,77.00039586162305]",POWERGRID
256,manger - dhauj rd  121005 ,"[28.367133326902646,77.17579739930724]",POWERGRID
257,neverenuf garden road para  122015 ,"[28.27680654042293,76.9264122916209]",POWERGRID
258,  122102 ,"[28.395920656125135,77.09772029822972]",POWERGRID
259,doper ki dhani rd sarai  122102 ,"[28.29677450188016,76.99122408945945]",POWERGRID
260,baluda  122102 ,"[28.247835328910522,77.11170062060931]",POWERGRID
261, 122102 ,"[28.24002892864397,77.12229734107845]",POWERGRID
262, sainipura  122015 ,"[28.224795639325837,76.95239890838342]",POWERGRID
263,guru dronacharya metro station nh 236 sikanderpur sector 26 gurugram  122002 ,"[28.48187031912246,77.10087706600885]",POWERGRID
264, 122102 ,"[28.24084679928439,77.09369252065669]",POWERGRID
265, jaunapur new delhi delhi 110047 ,"[28.45703833985214,77.13684150225357]",POWERGRID
266, harsaru sector 88a gurugram  122505 ,"[28.430307902047105,76.9556404560082]",POWERGRID
267,indira gandhi international airport (del) new delhi delhi 110037 ,"[28.56942539659204,77.10316948986821]",POWERGRID
268, 122102 ,"[28.294492993027397,77.04449368274015]",POWERGRID
269,sh28 deengarheri  122103 ,"[28.267397277002452,76.97847941796623]",POWERGRID
270,  122503 ,"[28.353909665137927,76.86105883343443]",POWERGRID
271,mohammadpur gujar  122102 ,"[28.276098804282594,77.04492147656802]",POWERGRID
272,gothda mohbtabad  ,"[28.39195019462592,77.22863242701237]",POWERGRID
273,b505 sector 65 gurugram  122102 ,"[28.401297116625525,77.0866147100438]",POWERGRID
274,381 urban estate sector 7 gurugram  122001 ,"[28.470149083534952,77.01161366137042]",POWERGRID
275,152 sector 1 pocket g sector 1 palam vihar gurugram  122017 ,"[28.515554626297178,77.04325274456181]",POWERGRID
276,22 holi chowk rd bilaspur khurd  122413 ,"[28.290465922515303,76.87032581176565]",POWERGRID
277, 122102 ,"[28.305143529428243,76.97988451958071]",POWERGRID
278, block a sector 35 gurugram  122004 ,"[28.423740106183324,77.00622759858514]",POWERGRID
279,wza35 palam village palam colony new delhi delhi 110045 ,"[28.58977181565202,77.07994052896217]",POWERGRID
280, sultanpur  122506 ,"[28.459422246726493,76.84333208326626]",POWERGRID
281, sector 99a gurugram  122505 ,"[28.45332950536131,76.94859648644615]",POWERGRID
282, rajokri village rajokri new delhi delhi 110038 ,"[28.518992489637768,77.09874463151046]",POWERGRID
283, gwal pahari bandhwari delhi 122102 ,"[28.429529083079398,77.15107757172639]",POWERGRID
284,1a oak dr chhattarpur new delhi delhi 110074 ,"[28.49031777803103,77.17632323373824]",POWERGRID
285, baghanki  122413 ,"[28.30421341055532,76.91935347273022]",POWERGRID
286, badshahpur sector 66 gurugram  122102 ,"[28.401322125426308,77.0483321246672]",POWERGRID
287,1899/43/3 rajiv nagar sector 13 gurugram  122001 ,"[28.478163213979073,77.03735203660368]",POWERGRID
288, badsa  124105 ,"[28.518008655144985,76.88066579228455]",POWERGRID
289, dera mandi new delhi  110074 ,"[28.41370716477456,77.16986918198467]",POWERGRID
290,323/3 pace city i sector 10a gurugram  122001 ,"[28.442069257958146,77.01154107645458]",POWERGRID
291, budhera gurugram  122505 ,"[28.499982246113678,76.93665266027331]",POWERGRID
292, kota khandeola bissar akbarpur  122015 ,"[28.30558655683774,76.95395564321554]",POWERGRID
293, 122102 ,"[28.287814426282544,77.03738756989996]",POWERGRID
294,school road kharkhari  122103 ,"[28.205867561392104,77.00135883457894]",POWERGRID
295,golf dr sector 42 gurugram  122011 ,"[28.451420418784373,77.10144949077386]",POWERGRID
296,  122103 ,"[28.277427261650512,76.99440621855267]",POWERGRID
297,sec 82a gurugram  122004 ,"[28.388283025364252,76.96145752044029]",POWERGRID
298, gangani  122102 ,"[28.29699830475116,77.00521706917982]",POWERGRID
299, gurugram  122505 ,"[28.433450637407745,76.91680504418223]",POWERGRID
300,farm ansal villas sat bari new delhi delhi 110074 ,"[28.48116924454015,77.19352482188157]",POWERGRID
301, garhi harsaru gurugram  122505 ,"[28.462730353959593,76.92904172657089]",POWERGRID
302,salig ki dhani road sector 89 gurugram  122004 ,"[28.424470060434373,76.94625140736436]",POWERGRID
303,  122102 ,"[28.38745409916864,77.07801893074208]",POWERGRID
